,PCODE,Region,Province,Municipality_City,food,clothing,power,entertainment,house_items,Health,Transport,Education,Communication,leisure,eats,poverty
0,PH133901000,NCR,1st district,Tondo,3.1,0.6,20.4,2.1,4.2,2.9,0.8,27.5,4.1,0.5,12.6,0.0
1,PH133902000,NCR,1st district,Binondo,1.5,0.6,41.9,0.5,2.5,1.0,0.7,68.0,1.8,0.3,18.1,0.0
2,PH133903000,NCR,1st district,Quiapo,2.1,0.6,28.1,1.1,3.1,2.1,0.9,42.4,5.3,0.4,7.9,0.0
3,PH133904000,NCR,1st district,San Nicolas,3.0,1.6,53.6,0.4,5.5,2.4,1.4,57.0,4.9,0.5,9.6,0.0
4,PH133905000,NCR,1st district,Santa Cruz,1.5,0.3,19.5,1.0,2.0,1.7,0.5,32.5,4.3,0.6,14.3,0.0
5,PH133906000,NCR,1st district,Sampaloc,0.8,0.2,24.7,0.5,1.1,1.3,0.3,23.6,5.8,0.7,11.9,0.0
6,PH133907000,NCR,1st district,San Miguel,1.2,0.9,73.1,-0.2,2.6,1.4,0.9,67.4,3.1,1.5,47.2,0.0
7,PH133908000,NCR,1st district,Ermita,0.9,0.4,47.8,0.2,1.6,1.5,1.0,68.7,4.4,2.5,56.4,0.0
8,PH133909000,NCR,1st district,Intramuros,2.5,1.2,49.6,0.5,4.5,2.5,1.2,48.0,3.0,0.6,20.9,0.0
9,PH133910000,NCR,1st district,Malate,1.3,0.4,26.7,0.7,1.9,1.8,0.5,29.1,6.4,0.6,8.9,0.0
10,PH133911000,NCR,1st district,Paco,0.9,0.3,31.1,0.4,1.4,1.8,0.6,31.3,6.0,0.4,5.8,0.0
11,PH133912000,NCR,1st district,Pandacan,1.6,0.4,25.6,0.9,2.2,1.9,0.6,33.0,6.0,0.5,7.8,0.0
12,PH133913000,NCR,1st district,Port Area,10.0,4.5,45.2,2.6,17.5,11.9,6.8,57.5,13.2,2.0,15.2,0.0
13,PH133914000,NCR,1st district,Santa Ana,1.3,0.4,27.6,0.7,1.8,2.2,0.6,29.0,4.7,0.8,17.8,0.0
14,PH137401000,NCR,2nd district,Mandaluyong  City,1.3,0.4,32.8,0.6,2.0,1.8,0.8,45.1,6.1,1.1,17.6,0.0
15,PH137402000,NCR,2nd district,Marikina  City,1.4,0.4,30.5,0.7,2.1,2.2,0.9,41.1,6.0,0.7,11.9,0.0
16,PH137403000,NCR,2nd district,Pasig City,1.8,0.4,24.6,1.1,2.6,2.2,0.8,37.3,5.0,0.5,9.5,0.0
17,PH137404000,NCR,2nd district,Quezon City,1.6,0.3,18.5,1.1,2.1,2.4,0.6,25.3,4.1,0.7,16.0,0.0
18,PH137405000,NCR,2nd district,San Juan,0.3,0.2,60.7,0.0,0.6,1.5,0.6,42.5,2.9,2.0,67.0,0.0
19,PH137501000,NCR,3rd district,Kalookan City,2.8,0.6,19.4,1.9,3.7,3.1,0.9,28.2,5.0,1.0,19.1,0.0
20,PH137502000,NCR,3rd district,Malabon,3.8,0.9,22.9,2.4,5.3,4.0,1.7,41.4,6.1,1.0,15.8,0.0
21,PH137503000,NCR,3rd district,Navotas,6.0,1.6,27.2,3.3,8.7,3.8,1.8,48.4,6.2,1.4,22.6,0.0
22,PH137504000,NCR,3rd district,Valenzuela  City,2.3,0.5,23.1,1.4,3.2,3.7,1.3,33.4,5.1,1.1,21.1,0.0
23,PH137601000,NCR,4th district,Las Piâ€“as  City,1.4,0.4,32.1,0.6,2.1,2.8,1.0,37.8,3.9,1.0,25.5,0.0
24,PH137602000,NCR,4th district,Makati  City,0.5,0.2,47.8,0.1,0.8,1.4,0.6,42.3,2.9,0.6,20.5,0.0
25,PH137603000,NCR,4th district,Muntinlupa  City,1.9,0.6,29.6,1.0,2.8,2.4,1.2,49.6,4.9,1.0,20.3,0.0
26,PH137604000,NCR,4th district,Paraâ€“aque  City,1.1,0.4,37.2,0.4,1.8,2.0,1.0,41.9,5.5,0.5,8.6,0.0
27,PH137605000,NCR,4th district,Pasay City,1.9,0.3,16.0,1.4,2.4,1.7,0.5,26.4,5.3,0.6,11.0,0.0
28,PH137606000,NCR,4th district,Pateros,2.4,1.0,43.2,0.7,4.1,3.0,1.9,64.9,8.2,2.2,27.3,0.0
29,PH137607000,NCR,4th district,Taguig,2.4,0.6,23.5,1.5,3.3,2.7,1.1,41.5,4.3,0.8,19.3,0.0
30,PH140101000,CAR,Abra,Bangued,10.9,2.9,26.6,6.1,15.6,16.8,2.1,12.7,16.6,3.4,26.9,0.0
31,PH140102000,CAR,Abra,Boliney,66.0,7.6,11.5,53.5,78.4,50.6,9.5,18.9,76.0,9.2,22.9,0.0
32,PH140103000,CAR,Abra,Bucay,37.6,5.8,15.3,28.2,47.1,36.2,5.8,16.1,42.6,6.4,22.1,0.0
33,PH140104000,CAR,Abra,Bucloc,42.1,8.7,20.7,27.8,56.4,77.2,10.1,13.0,58.0,9.5,26.4,0.0
34,PH140105000,CAR,Abra,Daguioman,37.0,8.7,23.5,22.7,51.3,32.2,8.8,27.3,46.8,10.5,32.4,0.0
35,PH140106000,CAR,Abra,Danglas,32.7,6.5,20.0,21.9,43.4,32.0,7.3,22.8,40.2,6.5,25.5,0.0
36,PH140107000,CAR,Abra,Dolores,23.6,4.9,20.9,15.5,31.7,33.5,5.0,15.0,23.7,5.1,28.7,0.0
37,PH140108000,CAR,Abra,La Paz,28.1,5.4,19.2,19.2,37.0,36.0,5.4,14.9,37.6,6.8,25.4,0.0
38,PH140109000,CAR,Abra,Lacub,57.8,7.7,13.4,45.1,70.4,67.2,9.5,14.2,58.8,8.2,22.5,0.0
39,PH140110000,CAR,Abra,Lagangilang,28.5,5.1,18.0,20.0,36.9,27.5,4.5,16.5,30.1,6.1,27.9,0.0
40,PH140111000,CAR,Abra,Lagayan,42.2,7.9,18.8,29.2,55.3,41.4,7.8,18.8,35.0,8.5,34.3,0.0
41,PH140112000,CAR,Abra,Langiden,40.8,7.9,19.3,27.8,53.7,46.0,8.1,17.6,44.1,8.8,29.8,0.0
42,PH140113000,CAR,Abra,Licuan-Baay (Licuan),45.9,6.5,14.2,35.1,56.6,46.7,8.4,18.0,39.7,8.0,26.5,0.0
43,PH140114000,CAR,Abra,Luba,44.8,6.9,15.5,33.4,56.2,36.2,6.7,18.5,50.5,8.4,26.3,0.0
44,PH140115000,CAR,Abra,Malibcong,51.5,6.6,12.8,40.7,62.4,55.6,8.8,15.8,48.9,6.8,20.2,0.0
45,PH140116000,CAR,Abra,Manabo,30.8,5.6,18.3,21.5,40.1,34.9,6.9,19.8,33.3,6.7,29.6,0.0
46,PH140117000,CAR,Abra,Peâ€“arrubia,31.0,5.6,18.1,21.7,40.2,35.7,7.0,19.6,29.6,7.6,33.7,0.0
47,PH140118000,CAR,Abra,Pidigan,23.1,5.0,21.5,14.9,31.2,25.9,4.9,18.9,22.7,5.7,32.9,0.0
48,PH140119000,CAR,Abra,Pilar,38.4,5.7,14.9,29.0,47.9,42.8,6.2,14.4,41.0,6.8,23.0,0.0
49,PH140120000,CAR,Abra,Sallapadan,43.2,7.2,16.6,31.4,55.0,62.0,8.2,13.2,25.5,6.0,31.3,0.0
50,PH140121000,CAR,Abra,San Isidro,42.3,7.0,16.4,30.9,53.8,42.3,6.7,15.9,50.8,7.0,21.3,0.0
51,PH140122000,CAR,Abra,San Juan,22.0,4.8,21.6,14.1,29.8,33.7,6.6,19.7,40.2,6.4,23.0,0.0
52,PH140123000,CAR,Abra,San Quintin,22.5,6.0,26.5,12.7,32.3,28.7,6.7,23.3,21.0,6.8,41.0,0.0
53,PH140124000,CAR,Abra,Tayum,23.4,5.0,21.5,15.1,31.7,23.7,4.4,18.7,23.4,5.7,32.6,0.0
54,PH140125000,CAR,Abra,Tineg,78.3,6.2,7.9,68.1,88.5,43.2,8.6,19.9,62.9,7.5,20.4,0.0
55,PH140126000,CAR,Abra,Tubo,51.7,7.4,14.3,39.5,63.8,56.4,9.4,16.6,53.3,8.3,23.3,0.0
56,PH140127000,CAR,Abra,Villaviciosa,39.2,6.9,17.6,27.8,50.5,49.1,7.7,15.7,49.7,8.3,25.2,0.0
57,PH141101000,CAR,Benguet,Atok,16.6,4.7,28.1,8.9,24.3,39.7,9.9,24.9,7.6,3.0,51.4,0.0
58,PH141102000,CAR,Benguet,Baguio City,0.8,0.3,40.0,0.3,1.4,2.4,0.8,31.3,1.2,0.5,55.6,0.0
59,PH141103000,CAR,Benguet,Bakun,26.5,6.0,22.6,16.6,36.3,53.7,9.6,17.9,17.0,4.8,38.5,0.0
60,PH141104000,CAR,Benguet,Bokod,9.2,3.1,33.4,4.1,14.2,21.5,4.8,22.4,5.1,2.2,59.3,0.0
61,PH141105000,CAR,Benguet,Buguias,13.1,3.3,25.5,7.6,18.5,42.0,8.1,19.2,6.4,2.5,50.0,0.0
62,PH141106000,CAR,Benguet,Itogon,4.8,2.0,41.6,1.5,8.0,8.9,2.6,29.0,5.8,2.3,52.9,0.0
63,PH141107000,CAR,Benguet,Kabayan,15.7,3.6,23.2,9.7,21.7,58.6,7.3,12.5,18.0,5.1,37.7,0.0
64,PH141108000,CAR,Benguet,Kapangan,17.7,3.6,20.1,11.8,23.5,37.7,6.6,17.5,25.9,5.6,27.9,0.0
65,PH141109000,CAR,Benguet,Kibungan,26.1,7.1,27.1,14.5,37.7,67.9,11.3,16.7,22.3,5.6,32.5,0.0
66,PH141110000,CAR,Benguet,La Trinidad,1.6,0.7,44.2,0.4,2.9,5.4,1.5,27.3,1.6,0.7,56.5,0.0
67,PH141111000,CAR,Benguet,Mankayan,6.2,2.4,39.2,2.2,10.2,16.5,4.3,26.2,6.6,2.3,46.6,0.0
68,PH141112000,CAR,Benguet,Sablan,9.2,3.2,34.5,4.0,14.4,19.3,5.4,27.7,14.1,3.8,32.7,0.0
69,PH141113000,CAR,Benguet,Tuba,4.6,1.8,38.9,1.7,7.5,14.2,3.2,22.7,6.4,2.1,40.7,0.0
70,PH141114000,CAR,Benguet,Tublay,11.7,3.7,31.8,5.6,17.8,30.4,6.9,22.7,11.3,3.5,39.3,0.0
71,PH142701000,CAR,Ifugao,Banaue,30.8,4.4,14.2,23.6,38.0,20.9,3.4,16.3,29.3,4.9,22.4,0.0
72,PH142702000,CAR,Ifugao,Hungduan,40.6,6.5,16.1,29.9,51.3,29.9,5.8,19.3,43.9,7.1,23.0,0.0
73,PH142703000,CAR,Ifugao,Kiangan,25.3,4.5,17.6,18.0,32.6,22.9,5.0,21.9,20.6,3.9,24.7,0.0
74,PH142704000,CAR,Ifugao,Lagawe,17.6,2.9,16.5,12.8,22.4,19.9,3.5,17.4,27.4,3.2,15.1,0.0
75,PH142705000,CAR,Ifugao,Lamut,17.2,2.9,16.9,12.4,22.0,18.2,3.3,18.3,20.4,3.2,20.0,0.0
76,PH142706000,CAR,Ifugao,Mayoyao,34.3,4.4,13.0,27.0,41.7,34.1,4.1,11.9,38.5,4.8,18.0,0.0
77,PH142707000,CAR,Ifugao,Alfonso Lista (Potia),21.5,4.1,19.1,14.8,28.3,37.1,4.5,12.2,30.6,4.3,19.1,0.0
78,PH142708000,CAR,Ifugao,Aguinaldo,53.6,7.0,13.1,42.0,65.1,33.2,6.0,18.1,42.2,5.8,19.3,0.0
79,PH142709000,CAR,Ifugao,Hingyon,29.9,6.0,19.9,20.1,39.7,25.2,5.7,22.7,25.4,5.2,26.5,0.0
80,PH142710000,CAR,Ifugao,Tinoc,53.5,7.0,13.1,41.9,65.0,49.6,7.5,15.0,52.0,7.5,21.8,0.0
81,PH142711000,CAR,Ifugao,Asipulo,55.3,8.2,14.8,41.9,68.7,47.5,9.3,19.5,55.0,7.8,22.2,0.0
82,PH143201000,CAR,Kalinga,Balbalan,33.9,6.6,19.6,23.0,44.8,30.1,5.7,19.1,35.4,5.8,22.3,0.0
83,PH143206000,CAR,Kalinga,Lubuagan,26.1,5.9,22.6,16.4,35.8,24.8,5.3,21.2,35.6,5.7,21.7,0.0
84,PH143208000,CAR,Kalinga,Pasil,41.2,8.1,19.6,27.9,54.5,26.5,4.5,16.9,44.8,6.5,22.0,0.0
85,PH143209000,CAR,Kalinga,Pinukpuk,31.9,5.7,17.9,22.5,41.3,29.9,4.3,14.5,33.9,5.1,20.4,0.0
86,PH143211000,CAR,Kalinga,Rizal (Liwan),9.0,2.8,31.3,4.4,13.7,25.3,5.4,21.2,28.0,5.2,24.8,0.0
